"115-5";"2018-12-18 17:14:06";"P2012019|5|3|";"ncjvjvdalet10v3s7bvbp4rec5";"1oolekkjqc0sc5r2uv7hkm63i2";"159"
"115-5";"2018-12-18 17:14:10";"P2012019|6|3|";"ncjvjvdalet10v3s7bvbp4rec5";"1oolekkjqc0sc5r2uv7hkm63i2";"160"
"115-5";"2018-12-18 17:22:45";"P2012019|8|3|";"ncjvjvdalet10v3s7bvbp4rec5";"1oolekkjqc0sc5r2uv7hkm63i2";"161"
"115-5";"2018-12-18 17:23:21";"P2012019|9|3|";"ncjvjvdalet10v3s7bvbp4rec5";"1oolekkjqc0sc5r2uv7hkm63i2";"162"
"115-5";"2018-12-18 17:23:24";"P2012019|10|3|";"ncjvjvdalet10v3s7bvbp4rec5";"1oolekkjqc0sc5r2uv7hkm63i2";"163"
"115-5";"2018-12-19 11:06:14";"P2012019|15|6|";"hcun4khot0ipvgve16juvqh3d4";"ilvth3c2bickkeniqbtvbpfc77";"165"
"115-5";"2018-12-19 11:06:16";"P2012019|16|6|";"hcun4khot0ipvgve16juvqh3d4";"ilvth3c2bickkeniqbtvbpfc77";"166"
"115-5";"2018-12-19 11:20:24";"P2012019|3|1|";"rfh4i4kst1mc8nenjqc9osmmv3";"6rg38hvu1q4hfqcas16lhs1244";"167"
"115-5";"2018-12-19 11:20:27";"P2012019|4|2|";"rfh4i4kst1mc8nenjqc9osmmv3";"6rg38hvu1q4hfqcas16lhs1244";"168"
"115-5";"2018-12-19 11:20:37";"P2012019|5|2|";"rfh4i4kst1mc8nenjqc9osmmv3";"6rg38hvu1q4hfqcas16lhs1244";"169"
"115-5";"2018-12-19 11:32:12";"P2012019|6|1|";"jk149to6oqj0gn3k9og3g8aas2";"rfh4i4kst1mc8nenjqc9osmmv3";"170"
"125-2";"2019-12-04 11:08:58";"W2A1|0||0|1|0|1";"dt31cl91s5roeeg21nkefn5ld2";"usvctconja75t6bnuhp9mi0h50";"182"
